Sample_ID,Date,Location,Species,Gasex_typeOrSequence,Duplicate_flag,Chem_type,Sample_disc_size,Disc_area_cm2,Num_discs,Leaf_area_cm2,FW_g,DW_g,H20_pc,LMA_gDW_m2,SLA_cm2_g,Canopy_position,,,,,
BNL10442,2016-02-13,PA-PNM,FICUIN,ACi,1,CHN,15,3.431,3,10.293,0.331,0.1049,68.31,101.91,98.12,sunlit,,,,,
BNL10446,2016-02-13,PA-PNM,CAL2CA,ACi,1,CHN,15,3.431,3,10.293,0.212,0.0809,61.84,78.60,127.23,sunlit,,,,,
BNL10660,2016-02-13,PA-PNM,LUEHSE,ACi,1,CHN,15,3.431,4,13.724,0.334,0.1495,55.24,108.93,91.80,sunlit,,,,,
BNL10662,2016-02-13,PA-PNM,CAL2CA,ACi,1,CHN,-9999,-9999.000,-9999,7.691,0.159,0.0662,58.36,86.07,116.18,sunlit,,,,,
BNL10663,2016-02-13,PA-PNM,LUEHSE,ACi,1,CHN,15,3.431,4,13.724,0.335,0.1485,55.67,108.20,92.42,sunlit,,,,,
BNL10664,2016-02-13,PA-PNM,FICUIN,ACi,1,CHN,15,3.431,4,13.724,0.456,0.1786,60.83,130.14,76.84,sunlit,,,,,
BNL10665,2016-02-13,PA-PNM,LUEHSE,ACi,1,CHN,15,3.431,4,13.724,0.350,0.1542,55.94,112.36,89.00,sunlit,,,,,
BNL10684,2016-02-13,PA-PNM,CAL2CA,ACi,1,CHN,15,3.431,3,10.293,0.212,0.0803,62.12,78.01,128.18,sunlit,,,,,
BNL10409,2016-02-13,PA-PNM,FICUIN,Diurnal 1,1,CHN,15,3.431,4,13.724,0.434,0.1267,70.81,92.32,108.32,sunlit,,,,,
BNL10427,2016-02-13,PA-PNM,ANACEX,Diurnal 1,1,CHN,15,3.431,4,13.724,0.350,0.1268,63.78,92.38,108.25,sunlit,,,,,
BNL10423,2016-02-13,PA-PNM,LUEHSE,Diurnal 1,1,CHN,15,3.431,2,6.862,0.192,0.1030,46.37,150.06,66.64,sunlit,,,,,
BNL10420,2016-02-13,PA-PNM,CORDAL,Diurnal 1,1,CHN,12,2.130,3,6.390,0.103,0.0548,46.80,85.76,116.61,sunlit,,,,,
BNL10426,2016-02-13,PA-PNM,ANACEX,Diurnal 1,1,CHN,15,3.431,4,13.724,0.327,0.1305,60.09,95.09,105.16,sunlit,,,,,
BNL10417,2016-02-13,PA-PNM,CAL2CA,Diurnal 1,1,CHN,7,0.801,5,4.005,0.065,0.0344,47.15,85.77,116.59,sunlit,,,,,
BNL10401,2016-02-13,PA-PNM,ALBIAD,Diurnal 1,1,CHN,12,2.130,4,8.520,0.140,0.0726,48.14,85.21,117.36,sunlit,,,,,
BNL10424,2016-02-13,PA-PNM,LUEHSE,Diurnal 1,1,CHN,15,3.431,3,10.293,0.297,0.1575,46.97,153.02,65.35,sunlit,,,,,
BNL10416,2016-02-13,PA-PNM,LUEHSE,Diurnal 1,1,CHN,12,2.130,2,4.260,0.118,0.0595,49.54,139.77,71.55,sunlit,,,,,
BNL10425,2016-02-13,PA-PNM,ANACEX,Diurnal 1,1,CHN,15,3.431,4,13.724,0.351,0.1271,63.79,92.61,107.98,sunlit,,,,,
BNL10404,2016-02-13,PA-PNM,CAL2CA,Diurnal 1,1,CHN,12,2.130,3,6.390,0.131,0.0573,56.24,89.70,111.48,sunlit,,,,,
BNL10411,2016-02-13,PA-PNM,CASTEL,Diurnal 1,1,CHN,15,3.431,3,10.293,0.222,0.0898,59.55,87.24,114.62,sunlit,,,,,
BNL10413,2016-02-13,PA-PNM,CASTEL,Diurnal 1,1,CHN,15,3.431,3,10.293,0.256,0.1017,60.27,98.81,101.20,sunlit,,,,,
BNL10412,2016-02-13,PA-PNM,FICUIN,Diurnal 1,1,CHN,15,3.431,3,10.293,0.364,0.1246,65.77,121.05,82.61,sunlit,,,,,
BNL10403,2016-02-13,PA-PNM,ANTITR,Diurnal 1,1,CHN,15,3.431,3,10.293,0.173,0.0804,53.53,78.11,128.02,sunlit,,,,,
BNL10405,2016-02-13,PA-PNM,CASTEL,Diurnal 1,1,CHN,15,3.431,3,10.293,0.245,0.0980,60.00,95.22,105.02,sunlit,,,,,
BNL10410,2016-02-13,PA-PNM,ANTITR,Diurnal 1,1,CHN,15,3.431,3,10.293,0.209,0.1034,50.51,100.49,99.52,sunlit,,,,,
BNL10422,2016-02-13,PA-PNM,ALBIAD,Diurnal 1,1,CHN,7,0.801,7,5.607,0.099,0.0537,45.73,95.83,104.36,sunlit,,,,,
BNL10414,2016-02-13,PA-PNM,ANTITR,Diurnal 1,1,CHN,15,3.431,3,10.293,0.195,0.0917,52.99,89.05,112.30,sunlit,,,,,
BNL10408,2016-02-13,PA-PNM,FICUIN,Diurnal 1,1,CHN,15,3.431,3,10.293,0.338,0.1127,66.66,109.49,91.33,sunlit,,,,,
BNL10402,2016-02-13,PA-PNM,CAL2CA,Diurnal 1,1,CHN,12,2.130,2,4.260,0.085,0.0378,55.53,88.73,112.70,sunlit,,,,,
BNL10419,2016-02-13,PA-PNM,CORDAL,Diurnal 1,1,CHN,12,2.130,3,6.390,0.103,0.0499,51.52,78.14,127.98,sunlit,,,,,
BNL10421,2016-02-13,PA-PNM,ALBIAD,Diurnal 1,1,CHN,7,0.801,8,6.408,0.105,0.0605,42.40,94.38,105.95,sunlit,,,,,
BNL10418,2016-02-13,PA-PNM,CORDAL,Diurnal 1,1,CHN,12,2.130,3,6.390,0.120,0.0600,50.00,93.90,106.50,sunlit,,,,,
BNL10406,2016-02-13,PA-PNM,CASTEL,Diurnal 2,1,CHN,15,3.431,3,10.293,0.265,0.1066,59.77,103.57,96.56,sunlit,,,,,
BNL10430,2016-02-13,PA-PNM,ALBIAD,Diurnal 2,1,CHN,12,2.130,4,8.520,0.137,0.0723,47.23,84.86,117.84,sunlit,,,,,
BNL10429,2016-02-13,PA-PNM,ALBIAD,Diurnal 2,1,CHN,12,2.130,4,8.520,0.139,0.0807,41.94,94.72,105.58,sunlit,,,,,
BNL10407,2016-02-13,PA-PNM,CASTEL,Diurnal 2,1,CHN,15,3.431,4,13.724,0.455,0.1419,68.81,103.40,96.72,sunlit,,,,,
BNL10415,2016-02-13,PA-PNM,LUEHSE,Diurnal 2,1,CHN,15,3.431,4,13.724,0.368,0.2001,45.63,145.80,68.59,sunlit,,,,,
BNL10609,2016-02-13,PA-PNM,ANTITR,Diurnal 2,1,CHN,12,2.130,6,12.780,0.191,0.0813,57.43,63.62,157.20,sunlit,,,,,
BNL10610,2016-02-13,PA-PNM,CAL2CA,Diurnal 2,1,CHN,15,3.431,3,10.293,0.210,0.0933,55.57,90.64,110.32,sunlit,,,,,
BNL10611,2016-02-13,PA-PNM,FICUIN,Diurnal 2,1,CHN,15,3.431,4,13.724,0.473,0.1757,62.85,128.02,78.11,sunlit,,,,,
BNL10613,2016-02-13,PA-PNM,CAL2CA,Diurnal 2,1,CHN,12,2.130,4,8.520,0.155,0.0637,58.90,74.77,133.75,sunlit,,,,,
BNL10615,2016-02-13,PA-PNM,FICUIN,Diurnal 2,1,CHN,15,3.431,4,13.724,0.458,0.1689,63.12,123.07,81.26,sunlit,,,,,
BNL10616,2016-02-13,PA-PNM,CORDAL,Diurnal 2,1,CHN,15,3.431,4,13.724,0.261,0.1157,55.67,84.30,118.62,sunlit,,,,,
BNL10617,2016-02-13,PA-PNM,CORDAL,Diurnal 2,1,CHN,15,3.431,4,13.724,0.278,0.1397,49.75,101.79,98.24,sunlit,,,,,
BNL10618,2016-02-13,PA-PNM,ANTITR,Diurnal 2,1,CHN,15,3.431,4,13.724,0.207,0.0909,56.09,66.23,150.98,sunlit,,,,,
BNL10623,2016-02-13,PA-PNM,LUEHSE,Diurnal 2,1,CHN,15,3.431,4,13.724,0.367,0.1944,47.03,141.65,70.60,sunlit,,,,,
BNL10624,2016-02-13,PA-PNM,ANACEX,Diurnal 2,1,CHN,15,3.431,4,13.724,0.334,0.1204,63.95,87.73,113.99,sunlit,,,,,
BNL10625,2016-02-13,PA-PNM,ANACEX,Diurnal 2,1,CHN,15,3.431,4,13.724,0.332,0.1244,62.53,90.64,110.32,sunlit,,,,,
BNL10620,2016-02-13,PA-PNM,ANTITR,Diurnal 3,1,CHN,12,2.130,6,12.780,0.249,0.1169,53.05,91.47,109.32,sunlit,,,,,
BNL10666,2016-02-13,PA-PNM,CASTEL,Diurnal 3,1,CHN,15,3.431,4,13.724,0.351,0.1424,59.43,103.76,96.38,sunlit,,,,,
BNL10669,2016-02-13,PA-PNM,CAL2CA,Diurnal 3,1,CHN,12,2.130,4,8.520,0.170,0.0726,57.29,85.21,117.36,sunlit,,,,,
BNL10670,2016-02-13,PA-PNM,FICUIN,Diurnal 3,1,CHN,15,3.431,4,13.724,0.463,0.1507,67.45,109.81,91.07,sunlit,,,,,
BNL10671,2016-02-13,PA-PNM,ALBIAD,Diurnal 3,1,CHN,12,2.130,6,12.780,0.167,0.0819,50.96,64.08,156.04,sunlit,,,,,
BNL10672,2016-02-13,PA-PNM,ALBIAD,Diurnal 3,1,CHN,12,2.130,6,12.780,0.198,0.0998,49.60,78.09,128.06,sunlit,,,,,
BNL10673,2016-02-13,PA-PNM,CAL2CA,Diurnal 3,1,CHN,12,2.130,4,8.520,0.175,0.0775,55.71,90.96,109.94,sunlit,,,,,
BNL10674,2016-02-13,PA-PNM,ANTITR,Diurnal 3,1,CHN,12,2.130,6,12.780,0.226,0.1118,50.53,87.48,114.31,sunlit,,,,,
BNL10675,2016-02-13,PA-PNM,ANTITR,Diurnal 3,1,CHN,12,2.130,6,12.780,0.250,0.1310,47.60,102.50,97.56,sunlit,,,,,
BNL10676,2016-02-13,PA-PNM,FICUIN,Diurnal 3,1,CHN,15,3.431,4,13.724,0.474,0.1725,63.61,125.69,79.56,sunlit,,,,,
BNL10677,2016-02-13,PA-PNM,CORDAL,Diurnal 3,1,CHN,15,3.431,4,13.724,0.266,0.1216,54.29,88.60,112.86,sunlit,,,,,
BNL10678,2016-02-13,PA-PNM,CORDAL,Diurnal 3,1,CHN,12,2.130,5,10.650,0.173,0.0783,54.74,73.52,136.02,sunlit,,,,,
BNL10679,2016-02-13,PA-PNM,ANACEX,Diurnal 3,1,CHN,15,3.431,4,13.724,0.350,0.1323,62.20,96.40,103.73,sunlit,,,,,
BNL10680,2016-02-13,PA-PNM,ANACEX,Diurnal 3,1,CHN,15,3.431,4,13.724,0.355,0.1313,63.01,95.67,104.52,sunlit,,,,,
BNL10681,2016-02-13,PA-PNM,LUEHSE,Diurnal 3,1,CHN,15,3.431,4,13.724,0.350,0.1811,48.26,131.96,75.78,sunlit,,,,,
BNL10682,2016-02-13,PA-PNM,CASTEL,Diurnal 3,1,CHN,15,3.431,4,13.724,0.317,0.1374,56.66,100.12,99.88,sunlit,,,,,
BNL10683,2016-02-13,PA-PNM,LUEHSE,Diurnal 3,1,CHN,15,3.431,4,13.724,0.371,0.1952,47.39,142.23,70.31,sunlit,,,,,
BNL10654,2016-02-13,PA-PNM,ALBIAD,Diurnal 4,1,CHN,12,2.130,4,8.520,0.159,0.0763,52.03,89.53,111.69,sunlit,,,,,
BNL10621,2016-02-13,PA-PNM,CAL2CA,Diurnal 4,1,CHN,12,2.130,4,8.520,0.178,0.0766,56.96,89.92,111.21,sunlit,,,,,
BNL10604,2016-02-13,PA-PNM,CAL2CA,Diurnal 4,1,CHN,12,2.130,3,6.390,0.142,0.0660,53.51,103.30,96.80,sunlit,,,,,
BNL10606,2016-02-13,PA-PNM,ANACEX,Diurnal 4,1,CHN,12,2.130,6,12.780,0.319,0.1264,60.38,98.90,101.11,sunlit,,,,,
BNL10603,2016-02-13,PA-PNM,FICUIN,Diurnal 4,1,CHN,12,2.130,4,8.520,0.302,0.0973,67.78,114.21,87.56,sunlit,,,,,
BNL10619,2016-02-13,PA-PNM,CASTEL,Diurnal 4,1,CHN,12,2.130,6,12.780,0.318,0.1277,59.86,99.89,100.11,sunlit,,,,,
BNL10614,2016-02-13,PA-PNM,LUEHSE,Diurnal 4,1,CHN,12,2.130,4,8.520,0.256,0.1264,50.61,148.39,67.39,sunlit,,,,,
BNL10655,2016-02-13,PA-PNM,ANTITR,Diurnal 4,1,CHN,12,2.130,5,10.650,0.197,0.1021,48.15,95.91,104.27,sunlit,,,,,
BNL10605,2016-02-13,PA-PNM,ANACEX,Diurnal 4,1,CHN,15,3.431,2,6.862,0.198,0.0739,62.70,107.62,92.92,sunlit,,,,,
