parameter0,parameter,ID,pft.start,pft.end,org.start,org.end,scale,shift,reverse.flag,reciprocal.flag,conversion.flag,conversion.lower,conversion.upper
fates_slatop,NA,1,0,0,0,0,0.5,0,0,1,0,0,0
fates_hydr_p_taper,fates_hydr_p_taper,2,0,0,0,0,1,0,0,0,0,0,0
fates_hydr_rs2,fates_hydr_rs2,3,0,0,0,0,0.001,0,0,0,0,0,0
fates_hydr_srl,fates_hydr_srl,4,0,0,0,0,1,0,0,0,0,0,0
fates_allom_la_per_sa_int,NA,5,0,0,0,0,1,0,0,0,0,0,0
fates_hydr_rfrac_stem,fates_hydr_rfrac_stem,6,0,0,0,0,1,0,0,0,0,0,0
roota_par,NA,7,0,0,0,0,1,0,0,0,0,0,0
roota_par,NA,8,0,0,0,0,1,0,0,0,0,0,0
fates_allom_l2fr,NA,9,0,0,0,0,1,0,0,0,0,0,0
fates_hydr_p50_gs,fates_hydr_p50_gs,10,0,0,0,0,1,0,1,0,0,0,0
fates_hydr_kmax_node,fates_hydr_kmax_node,11,0,0,2,2,1,0,0,0,0,0,0
fates_hydr_avuln_node,fates_hydr_avuln_node,12,0,0,1,2,1,0,0,0,0,0,0
fates_hydr_avuln_node,fates_hydr_avuln_node,13,0,0,3,3,1,0,0,0,0,0,0
fates_hydr_avuln_node,fates_hydr_avuln_node,14,0,0,4,4,1,0,0,0,0,0,0
fates_hydr_p50_node,fates_hydr_p50_node,15,0,0,1,2,1,0,1,0,0,0,0
fates_hydr_p50_node,fates_hydr_p50_node,16,0,0,3,3,1,0,1,0,0,0,0
fates_hydr_p50_node,fates_hydr_p50_node,17,0,0,4,4,1,0,1,0,0,0,0
fates_hydr_thetas_node,fates_hydr_thetas_node,18,0,0,1,1,1,0,0,0,1,0.01,0.99
fates_hydr_thetas_node,fates_hydr_thetas_node,19,0,0,2,2,1,0,0,0,1,0.01,0.99
fates_hydr_thetas_node,fates_hydr_thetas_node,20,0,0,3,3,1,0,0,0,1,0.01,0.99
fates_hydr_thetas_node,fates_hydr_thetas_node,21,0,0,4,4,1,0,0,0,1,0.01,0.99
fates_hydr_epsil_node,fates_hydr_epsil_node,22,0,0,1,1,1,0,0,0,0,0,0
fates_hydr_epsil_node,fates_hydr_epsil_node,23,0,0,2,2,1,0,0,0,0,0,0
fates_hydr_epsil_node,fates_hydr_epsil_node,24,0,0,3,3,1,0,0,0,0,0,0
fates_hydr_epsil_node,fates_hydr_epsil_node,25,0,0,4,4,1,0,0,0,0,0,0
fates_hydr_pitlp_node,fates_hydr_pitlp_node,26,0,0,1,1,1,0,1,0,0,0,0
fates_hydr_pitlp_node,fates_hydr_pitlp_node,27,0,0,2,2,1,0,1,0,0,0,0
fates_hydr_pitlp_node,fates_hydr_pitlp_node,28,0,0,3,3,1,0,1,0,0,0,0
fates_hydr_pitlp_node,fates_hydr_pitlp_node,29,0,0,4,4,1,0,1,0,0,0,0
fates_hydr_resid_node,fates_hydr_resid_node,30,0,0,1,1,1,0,0,0,1,0.015,0.995
fates_hydr_resid_node,fates_hydr_resid_node,31,0,0,2,2,1,0,0,0,1,0.015,0.995
fates_hydr_resid_node,fates_hydr_resid_node,32,0,0,3,3,1,0,0,0,1,0.015,0.995
fates_hydr_resid_node,fates_hydr_resid_node,33,0,0,4,4,1,0,0,0,1,0.015,0.995
fates_hydr_fcap_node,fates_hydr_fcap_node,34,0,0,2,2,1,0,0,0,0,0,0
fates_hydr_fcap_node,fates_hydr_fcap_node,35,0,0,3,3,1,0,0,0,0,0,0
fates_mort_hf_flc_threshold,fates_mort_hf_flc_threshold,36,0,0,0,0,1,0,0,0,0,0,0
fates_hydr_rsurf1,fates_hydr_kmax_rsurf1,37,0,0,0,0,1,0,0,0,0,0,0
fates_hydr_rsurf2,fates_hydr_kmax_rsurf2,38,0,0,0,0,1,0,0,0,0,0,0
fates_bbopt_c3,fates_leaf_stomatal_intercept,39,0,0,0,0,1000,0,0,0,0,0,0
fates_hydr_stem_cuticle_loss_frac,NA,40,0,0,0,0,1,0,0,0,0,0,0
