,FuelClass1,FuelClass2,FuelClass3,FuelClass4,FuelClass5,FuelClass6,Total
1950-02-01,2.578081e-07,4.3005895e-07,1.2041651e-06,3.8466346e-06,0.0028858597,1.763827e-05,0.00290539
1950-03-01,2.6273807e-07,4.399625e-07,1.231895e-06,3.9564798e-06,0.002901898,0.0,0.0029038326
1950-04-01,2.5842746e-07,4.346349e-07,1.2169777e-06,3.932643e-06,0.002811006,0.0,0.0028129162
1950-05-01,2.5406854e-07,4.2922338e-07,1.2018254e-06,3.9082765e-06,0.002720527,0.0,0.002722412
1950-06-01,2.496283e-07,4.2368669e-07,1.1863227e-06,3.8831927e-06,0.0026297662,0.0,0.0026316259
1950-07-01,2.488344e-07,4.2269428e-07,1.183544e-06,3.878681e-06,0.0026136788,0.0,0.0026155338
1950-08-01,2.4882857e-07,4.22687e-07,1.1835236e-06,3.878648e-06,0.0026135612,0.0,0.0026154162
1950-09-01,2.4882857e-07,4.22687e-07,1.1835236e-06,3.878648e-06,0.0026135612,0.0,0.0026154162
1950-10-01,2.487371e-07,4.2257253e-07,1.183203e-06,3.878127e-06,0.002611714,0.0,0.0026135684
1950-11-01,2.4817848e-07,4.2187338e-07,1.1812455e-06,3.8749426e-06,0.0026004438,0.0,0.002602295
1950-12-01,2.465081e-07,4.1978012e-07,1.1753843e-06,3.865392e-06,0.0025668922,0.0,0.0025687339
1951-01-01,2.4405406e-07,4.166976e-07,1.1667532e-06,3.8512817e-06,0.0025180024,0.0,0.00251983
1951-02-01,2.397166e-07,4.112303e-07,1.1514448e-06,3.8261323e-06,0.0024326353,0.0,0.0024344376
1951-03-01,2.3624746e-07,4.0683972e-07,1.1391512e-06,3.80582e-06,0.0023653258,0.0,0.0023671081
1951-04-01,2.3336445e-07,4.0317678e-07,1.128895e-06,3.788781e-06,0.002310143,0.0,0.0023119084
1951-05-01,2.2991587e-07,3.9878006e-07,1.1165841e-06,3.768229e-06,0.00224493,0.0,0.0022466753
1951-06-01,2.2657794e-07,3.945089e-07,1.104625e-06,3.748161e-06,0.0021826096,0.0,0.0021843354
1951-07-01,2.2596129e-07,3.9371798e-07,1.1024104e-06,3.7444324e-06,0.002171192,0.0,0.002172914
1951-08-01,2.2595933e-07,3.9371548e-07,1.1024033e-06,3.7444206e-06,0.002171156,0.0,0.002172878
1951-09-01,2.2595933e-07,3.9371548e-07,1.1024033e-06,3.7444206e-06,0.002171156,0.0,0.002172878
1951-10-01,2.2550276e-07,3.9312937e-07,1.1007622e-06,3.7416544e-06,0.0021627273,0.0,0.0021644467
1951-11-01,2.2527959e-07,3.9284288e-07,1.0999601e-06,3.740302e-06,0.0021586083,0.0,0.0021603263
1951-12-01,2.2254636e-07,3.8932592e-07,1.0901126e-06,3.7236473e-06,0.0021085674,0.0,0.0021102694
1952-01-01,2.1981876e-07,3.8580683e-07,1.0802592e-06,3.7069196e-06,0.002059093,0.0,0.002060779
1952-02-01,2.1686718e-07,3.8198402e-07,1.0695553e-06,3.6886495e-06,0.0020062763,0.0,0.0020079447
1952-03-01,2.1300825e-07,3.7696643e-07,1.055506e-06,3.6645363e-06,0.0019381637,0.0,0.0019398092
1952-04-01,2.0961237e-07,3.7253096e-07,1.0430866e-06,3.6430845e-06,0.001879165,0.0,0.0018807902
1952-05-01,2.0724114e-07,3.694235e-07,1.0343858e-06,3.627985e-06,0.0018384471,0.0,0.0018400581
1952-06-01,2.0638313e-07,3.6829638e-07,1.0312299e-06,3.6224899e-06,0.001823836,0.0,0.001825442
1952-07-01,2.0611347e-07,3.67942e-07,1.0302376e-06,3.620761e-06,0.0018192515,0.0,0.0018208558
1952-08-01,2.0610702e-07,3.6793352e-07,1.0302139e-06,3.6207196e-06,0.001819142,0.0,0.0018207462
1952-09-01,2.0599666e-07,3.677884e-07,1.0298075e-06,3.620011e-06,0.0018172689,0.0,0.0018188725
1952-10-01,2.0596042e-07,3.6774074e-07,1.0296741e-06,3.6197785e-06,0.0018166541,0.0,0.0018182575
1952-11-01,2.0583292e-07,3.6757305e-07,1.0292046e-06,3.6189597e-06,0.0018144915,0.0,0.001816094
1952-12-01,2.0466378e-07,3.660338e-07,1.0248947e-06,3.611431e-06,0.0017947394,0.0,0.001796335
1953-01-01,2.018684e-07,3.623447e-07,1.0145652e-06,3.5933276e-06,0.0017479021,0.0,0.001749481
1953-02-01,1.9817054e-07,3.574442e-07,1.0008438e-06,3.5691376e-06,0.0016868428,0.0,0.0016883992
1953-03-01,1.9535524e-07,3.53698e-07,9.903544e-07,3.5505384e-06,0.0016410187,0.0,0.001642558
1953-04-01,1.9251695e-07,3.4990592e-07,9.797366e-07,3.5316043e-06,0.0015954688,0.0,0.001596991
1953-05-01,1.8972159e-07,3.4615678e-07,9.69239e-07,3.5127823e-06,0.0015512112,0.0,0.0015527164
1953-06-01,1.8694341e-07,3.4241674e-07,9.587669e-07,3.4939076e-06,0.0015077958,0.0,0.0015092839
1953-07-01,1.8639142e-07,3.41672e-07,9.566817e-07,3.4901375e-06,0.0014992361,0.0,0.0015007209
1953-08-01,1.8623952e-07,3.4146694e-07,9.561074e-07,3.4890984e-06,0.001496886,0.0,0.0014983698
1953-09-01,1.8618567e-07,3.413942e-07,9.559038e-07,3.4887298e-06,0.0014960537,0.0,0.0014975371
1953-10-01,1.8537288e-07,3.4029588e-07,9.528285e-07,3.4831573e-06,0.0014835197,0.0,0.0014849982
1953-11-01,1.8476435e-07,3.394728e-07,9.505238e-07,3.4789757e-06,0.0014741654,0.0,0.0014756401
1953-12-01,1.8390591e-07,3.3831054e-07,9.4726954e-07,3.4730629e-06,0.0014610162,0.0,0.0014624858
1954-01-01,1.8347947e-07,3.3773262e-07,9.456513e-07,3.4701186e-06,0.001454507,0.0,0.0014559738
1954-02-01,1.8321003e-07,3.3736725e-07,9.446283e-07,3.4682557e-06,0.0014504022,0.0,0.0014518674
1954-03-01,1.8209079e-07,3.358476e-07,9.4037324e-07,3.4604939e-06,0.0014334269,0.0,0.0014348852
1954-04-01,1.7998e-07,3.3297627e-07,9.323336e-07,3.445789e-06,0.0014016243,0.0,0.0014030696
1954-05-01,1.7865894e-07,3.3117442e-07,9.2728834e-07,3.4365264e-06,0.001381905,0.0,0.0013833422
1954-06-01,1.7788828e-07,3.3012196e-07,9.243415e-07,3.4311067e-06,0.001370452,0.0,0.0013718844
1954-07-01,1.7771927e-07,3.2989095e-07,9.2369464e-07,3.4299155e-06,0.0013679484,0.0,0.0013693797
1954-08-01,1.7771927e-07,3.2989095e-07,9.2369464e-07,3.4299155e-06,0.0013679484,0.0,0.0013693797
1954-09-01,1.7748171e-07,3.2956606e-07,9.22785e-07,3.4282393e-06,0.0013644348,0.0,0.0013658646
1954-10-01,1.7698669e-07,3.2888894e-07,9.20889e-07,3.4247444e-06,0.0013571202,0.0,0.001358547
1954-11-01,1.7652216e-07,3.282527e-07,9.191076e-07,3.4214545e-06,0.0013502871,0.0,0.001351711
1954-12-01,1.7450506e-07,3.2548618e-07,9.113613e-07,3.4071213e-06,0.0013207584,0.0,0.0013221697
1955-01-01,1.7222914e-07,3.2235377e-07,9.025905e-07,3.3908125e-06,0.0012878455,0.0,0.0012892428
1955-02-01,1.6999732e-07,3.1927235e-07,8.939625e-07,3.3746976e-06,0.0012559264,0.0,0.0012573097
1955-03-01,1.668462e-07,3.149026e-07,8.8172726e-07,3.3517042e-06,0.0012115433,0.0,0.0012129068
1955-04-01,1.6350906e-07,3.102513e-07,8.6870364e-07,3.3270537e-06,0.0011653688,0.0,0.0011667113
1955-05-01,1.6008258e-07,3.0545038e-07,8.552611e-07,3.3014214e-06,0.0011188226,0.0,0.0011201435
1955-06-01,1.5823251e-07,3.028466e-07,8.479704e-07,3.2874316e-06,0.0010940825,0.0,0.0010953916
1955-07-01,1.5692031e-07,3.0099548e-07,8.4278736e-07,3.2774535e-06,0.0010766769,0.0,0.0010779776
1955-08-01,1.5690505e-07,3.0097394e-07,8.4272705e-07,3.277337e-06,0.0010764756,0.0,0.0010777762
1955-09-01,1.5690505e-07,3.0097394e-07,8.4272705e-07,3.277337e-06,0.0010764756,0.0,0.0010777762
1955-10-01,1.5667288e-07,3.006459e-07,8.418085e-07,3.275565e-06,0.0010734135,0.0,0.0010747126
