"par.sam","qrunoff_daily","qrunoff_yearly","qet_daily","qet_monthly","qet_yearly","gpp_daily","gpp_yearly","sat10_daily","sat40_daily","sat100_daily","swcplot10_daily","swcplot40_daily","swcplot100_daily","swc10_daily","swc40_daily","swc100_daily","swc.vert_daily"
1,-1.40536710373568,0.0150611819730909,-4.10219828131322,-1.16083303057986,0.291480272487916,-21.2383207610859,-0.368596838594913,0.406987987274234,0.232536099336294,0.358437546599213,0.137491893040775,-9.55444811080416,-18.6407611963374,-1.13358413753936,-1.20205059498521,-10.2361242132125,-1.92258268955308
2,-1.41146290294074,0.296718086529367,-6.72879913119353,-2.095801055837,-0.715457102620283,-7.32903012179629,-2.24169591621917,0.225501296111765,0.0895824260317003,0.184391845461044,-2.49239007184153,-21.9547428292187,-41.6539058487609,-1.91604056347726,-1.79462973489919,-12.6988839178214,-2.95234646812671
5,-1.39849501874731,0.281300033483812,-5.36072767955727,-1.45889797006082,0.0141495615134836,-17.3772215170047,-0.613785614906728,0.406255730014443,0.2446971939839,0.347106236639018,-0.104079304233669,-11.0922501976452,-22.714647675172,-1.21473874422996,-1.25292136662025,-10.7718094898532,-2.10052744480335
6,-1.40336077000471,0.266632789931904,-4.85927909579032,-1.34166196960754,0.129430818941073,-23.458293782624,-0.648415208880449,0.275224257718995,0.133742488344636,0.303910447450848,-0.849471239324946,-13.6594633719331,-22.6840111419856,-1.59691669580347,-1.50253163275758,-10.9834163285541,-2.27029469306378
9,-1.40959225889384,0.123442334195567,-4.42903609409782,-1.22833545014822,0.235826658966812,-16.0287031109255,-0.608451005947843,0.406708366159167,0.238759692817075,0.341511193106295,0.0210201798403644,-10.4493473072648,-21.316932117762,-1.18500009184354,-1.24367139727264,-10.7222423460457,-2.04062396783585
10,-1.38400062631948,-0.0438852920614108,-13.3604414634582,-5.84082985847156,-5.93507552160507,-10.0281625563124,-7.82780104010329,0.0103335760674941,-0.0792468963868465,0.0289949738737099,-6.11477925293274,-31.7378814476433,-54.5414080000484,-2.68027086651454,-2.33950008114487,-14.1684070317193,-3.96101965839994
13,-1.40057039568465,0.12862432134833,-11.8172527969678,-5.26902045681903,-5.32431408008144,-10.0750607120044,-9.4940771720982,-0.0149940362551433,-0.105529511404177,0.00649107352719591,-6.55577823099294,-33.0314503071618,-56.4744438013812,-2.76412499907093,-2.41239631322739,-14.3817069626932,-4.07347852881399
14,-1.41849066911594,0.198105540372599,-11.5193454360709,-4.61637378068809,-4.27926445635458,-9.83345941525002,-7.24660190665656,0.00486078063050066,-0.0909499465379107,0.0173939733653364,-6.12009099629406,-31.9069598107197,-55.0091411902611,-2.70096411472171,-2.37284227507545,-14.3412836112535,-4.02170887319313
17,-1.39224957606455,0.299795702880052,-7.31361559608917,-1.96940942314988,-0.514191633838155,-12.8719521592808,-1.30069592273564,0.32199937549819,0.176694443370593,0.273217753885799,-1.06903412727124,-15.9776662298253,-31.2869138181716,-1.55548015246587,-1.51247497169673,-11.7578053248793,-2.52617550113168
18,-1.42820016891563,0.303264033074849,-3.38729197570223,-0.941746537203737,0.488648488917805,-15.2201083360553,-0.527391959168958,0.409990169256697,0.223303849029163,0.329594608199251,0.229350179629836,-9.11852790639926,-18.7704535076815,-1.1171864532566,-1.2239189703612,-10.5821662861347,-1.93882125143386
21,-1.40214562548458,0.0276454282990167,-9.04449892411341,-3.15756362122441,-2.06882770085749,-7.71116200478549,-3.9794917985002,0.119672532237244,0.00298541726166768,0.101394164553189,-4.19643351122539,-27.2044019022442,-49.2321247131939,-2.29501603596477,-2.07465769095702,-13.5166332961793,-3.4445358630291
22,-1.39102719755132,0.0301127286598838,-14.719453924578,-5.69322768459762,-5.7456978278894,-12.2662172880564,-8.70120782337945,-0.000464492620087631,-0.0905984687251906,0.0227379921569104,-6.34321958357247,-32.4238692754623,-55.670620880421,-2.72165537538596,-2.37450253100091,-14.2635527841762,-4.02683650864263
25,-1.3803382060821,0.416032597408495,-14.2008980042664,-5.99867362988635,-6.1196898097005,-10.8405758332336,-8.45161255989601,0.0172656417924226,-0.0723793005554618,0.0358591246565683,-6.0693249883132,-31.7301505482788,-54.7415141057722,-2.66003465577487,-2.32198561261381,-14.1131708179776,-3.93244088682567
26,-1.40424289738084,0.170553457690299,-4.43255832552224,-1.23230958375586,0.229641194132068,-19.548823811373,-0.452376901425269,0.423318120801225,0.251652085308578,0.362951819043485,0.14539564541945,-9.51454159770087,-19.4803474917373,-1.11262166337361,-1.18268203279794,-10.3848235728332,-1.95231542814538
29,-1.40845543868666,0.0933154919844811,-4.58550663531714,-1.26268233533685,0.197573762267801,-15.8732718625885,-0.577932469058962,0.394062964690079,0.221923526503581,0.333945430677916,-0.234105071001981,-12.048404008006,-24.5683679838264,-1.24874299590271,-1.29176372735555,-10.8135301223843,-2.0904537906162
30,-1.33180872110978,0.356736806763377,-30.3927453693929,-20.8376322333017,-28.5527115601165,-313.776371203632,-187.554269079603,0.0589453158154156,-0.0353577089613335,0.0509207141727769,-5.12097588700304,-28.992772290519,-52.3229728816763,-2.55284689406033,-2.25371335153541,-13.9784660172452,-4.00767270871162
33,-1.40546785443219,0.220151550062903,-8.06650705831207,-2.55991874292065,-1.31389739840348,-7.80839368676241,-2.82503497136432,0.15228843869139,0.0266087351063723,0.128595530175916,-3.60508982163454,-25.52124253346,-46.791591074856,-2.18007858946789,-1.99567994100579,-13.2827117730045,-3.30464339656177
34,-1.39722295114367,-0.124976732329918,-6.437022979702,-1.71884132678966,-0.255008728114706,-13.4852626856842,-0.951676489723525,0.348446586367738,0.192429083400989,0.296968634319433,-0.759388205724461,-14.5957802244823,-28.9605009691215,-1.44995907524531,-1.43752799901898,-11.4371853171922,-2.37640660206433
35,-1.37664069811695,0.121300366079592,-19.345975554394,-9.63616600168027,-11.8535175649249,-21.005810839889,-24.4089290467916,-0.000149848811497266,-0.091267059473545,0.00782365265892782,-6.21452410790029,-31.9345750834349,-55.779558204998,-2.7297668845653,-2.39132395883214,-14.3623416346514,-4.15698161324429
37,-1.37800732257901,0.261739479445169,-11.6689736335629,-3.48037584145792,-2.31729919667935,-11.9308825464312,-3.33247697667123,0.180774023707276,0.0627540167836991,0.159729100931287,-3.18267381480867,-23.6713633437707,-43.4807323025357,-2.08690003265636,-1.90323724860907,-12.9889573011055,-3.20086790380241
38,-1.43896427247175,0.146648893380503,-2.45876889098876,-0.693300674477602,0.683368146494667,-18.061558924921,-0.180874867916172,0.44143541502414,0.249549245475552,0.374275415518232,0.469494558536127,-6.86151196230201,-13.6753983106618,-0.936271776299312,-1.05468569035996,-9.48136148985622,-1.61008529192732
41,-1.38640549220475,0.0564658670965233,-7.34434629708402,-1.95422084649178,-0.482908135214168,-26.4156803913835,-1.29581970869161,0.191891388781679,0.068242409865624,0.243092847827488,-1.86977195409598,-17.8521074704255,-29.3085173704183,-1.91361465661388,-1.7412236108342,-11.8533875731012,-2.63790074310548
42,-1.3921033176027,0.323161618005905,-12.1001642322368,-4.76308394826748,-4.36707871688768,-9.23701489111735,-6.58158873473988,0.0384609201331795,-0.0603480933883751,0.0476428739500204,-5.7032073903665,-31.0777262405465,-54.2245279312444,-2.58325215080445,-2.27671885287394,-14.0151382703959,-3.81850696153331
45,-1.411751235293,0.0635948873487902,-7.19284969051153,-2.35740397345488,-1.05239368622587,-7.18625246556859,-2.84386981066393,0.179001789647755,0.05003159245811,0.147756010721304,-3.21311441991616,-24.3514607436546,-45.1911648694777,-2.08281647510736,-1.92085124728418,-13.0709801588172,-3.16416680620301
46,-1.39766025196137,0.0678516867610685,-5.01996716411907,-1.38803524115208,0.0785814147822747,-21.4579637007504,-0.469302868148231,0.400270416706991,0.22332928911772,0.340860664706231,0.0686269841904111,-9.95875952788015,-20.2907182444186,-1.18010989320288,-1.254614320817,-10.6203400202498,-2.05621993191407
49,-1.43779784193471,0.0458173124834693,-16.5338748252853,-7.21378522560443,-8.48463853398665,-17.8707558986573,-15.8688855881915,-0.0767395147102343,-0.156428580413094,-0.0408583380947269,-7.58286305719824,-35.0954418553278,-58.6558796360604,-2.9807068444604,-2.57467192395271,-14.8319712402667,-4.41951584154955
50,-1.41096312556297,0.277123864162553,-5.4652963921799,-1.56398903777653,-0.101550002699851,-9.66777743040193,-1.24066270816234,0.328610142715865,0.174662693593399,0.266378337561983,-0.911699966862836,-15.558176479925,-30.8305561914744,-1.52005677455609,-1.50133729971433,-11.7768380171564,-2.46708201015757
