"par.sam","qrunoff_daily","qrunoff_yearly","qet_daily","qet_monthly","qet_yearly","gpp_daily","gpp_yearly","sat10_daily","sat40_daily","sat100_daily","swcplot10_daily","swcplot40_daily","swcplot100_daily","swc10_daily","swc40_daily","swc100_daily","swc.vert_daily"
1,3.887,260.937,0.981,30.438,135.93,2.458,922.657,0.154,0.182,0.159,0.012,0.033,0.036,0.055,0.048,0.095,0.046
2,3.897,237.118,1.068,31.944,181.389,3.437,1138.594,0.158,0.177,0.155,0.02,0.041,0.042,0.058,0.048,0.091,0.048
5,3.888,238.482,1.002,30.847,152.443,2.627,961.612,0.152,0.177,0.154,0.013,0.035,0.038,0.056,0.047,0.093,0.046
6,3.887,239.577,0.996,30.721,146.249,2.639,968.039,0.16,0.184,0.159,0.015,0.035,0.037,0.057,0.049,0.094,0.047
9,3.889,251.88,0.968,30.292,138.863,2.628,960.473,0.153,0.179,0.156,0.012,0.034,0.037,0.055,0.047,0.094,0.046
10,3.901,265.515,1.378,36.982,269.858,4.433,1415.227,0.165,0.178,0.156,0.026,0.046,0.047,0.06,0.048,0.088,0.049
13,3.901,251.466,1.354,36.55,262.815,4.588,1462.032,0.166,0.178,0.157,0.026,0.046,0.047,0.06,0.049,0.088,0.049
14,3.9,245.504,1.313,35.846,251.912,4.349,1396.15,0.165,0.178,0.156,0.026,0.046,0.047,0.06,0.048,0.088,0.049
17,3.892,236.76,1.055,31.718,175.759,3.011,1050.694,0.155,0.176,0.153,0.016,0.038,0.04,0.057,0.047,0.092,0.047
18,3.89,236.492,0.931,29.62,119.277,2.576,947.365,0.154,0.183,0.16,0.011,0.033,0.036,0.055,0.048,0.095,0.046
21,3.9,259.842,1.183,33.803,216.713,3.88,1255.804,0.162,0.177,0.156,0.023,0.043,0.045,0.059,0.048,0.089,0.048
22,3.9,259.542,1.373,36.845,268.916,4.475,1440.995,0.165,0.178,0.156,0.026,0.046,0.047,0.06,0.048,0.088,0.049
25,3.9,229.323,1.385,37.09,272.002,4.482,1434.088,0.165,0.177,0.156,0.026,0.046,0.047,0.06,0.048,0.088,0.049
26,3.888,247.805,0.98,30.457,139.786,2.516,936.32,0.152,0.179,0.156,0.012,0.033,0.037,0.055,0.047,0.094,0.046
29,3.889,254.334,0.976,30.402,141.424,2.605,955.623,0.153,0.179,0.155,0.013,0.035,0.038,0.056,0.048,0.093,0.046
30,3.905,232.339,1.809,44.035,375.111,6.536,2084.674,0.163,0.174,0.153,0.026,0.047,0.049,0.06,0.048,0.087,0.049
33,3.898,243.597,1.127,32.847,199.966,3.589,1183.548,0.161,0.177,0.155,0.022,0.042,0.044,0.059,0.048,0.09,0.048
34,3.891,271.861,1.027,31.277,165.191,2.834,1008.25,0.154,0.177,0.154,0.016,0.037,0.039,0.056,0.048,0.092,0.047
35,3.901,252.093,1.547,39.707,312.716,5.3,1692.93,0.165,0.177,0.156,0.027,0.047,0.048,0.06,0.048,0.087,0.05
37,3.897,240.218,1.205,34.14,223.48,3.678,1220.497,0.16,0.176,0.154,0.021,0.042,0.044,0.059,0.048,0.09,0.048
38,3.891,249.814,0.926,29.377,99.518,2.315,887.552,0.155,0.188,0.166,0.01,0.03,0.033,0.055,0.048,0.097,0.045
41,3.888,257.445,1.066,31.873,175.769,2.971,1053.388,0.162,0.183,0.158,0.017,0.037,0.039,0.058,0.049,0.093,0.047
42,3.901,235.134,1.313,35.901,252.755,4.283,1372.795,0.164,0.178,0.156,0.025,0.045,0.046,0.06,0.048,0.088,0.049
45,3.898,256.724,1.101,32.467,191.702,3.62,1184.501,0.16,0.177,0.155,0.021,0.042,0.043,0.059,0.048,0.09,0.048
46,3.886,256.354,1.005,30.872,149.359,2.527,939.627,0.154,0.181,0.157,0.012,0.034,0.037,0.056,0.048,0.094,0.046
49,3.9,258.128,1.465,38.304,292.1,4.953,1590.446,0.168,0.179,0.157,0.028,0.048,0.049,0.061,0.049,0.087,0.05
50,3.893,238.915,1.002,30.861,157.318,3.01,1042.634,0.155,0.177,0.155,0.016,0.037,0.04,0.057,0.048,0.092,0.047
53,3.891,260.15,0.983,30.538,148.375,2.763,986.826,0.151,0.177,0.155,0.013,0.034,0.038,0.055,0.047,0.093,0.046
54,3.902,257.388,1.353,36.55,262.626,4.692,1491.403,0.166,0.178,0.157,0.026,0.046,0.047,0.06,0.049,0.088,0.049
57,3.889,258.558,0.971,30.335,139.143,2.604,955.784,0.152,0.178,0.156,0.012,0.034,0.037,0.055,0.047,0.094,0.046
58,3.889,239.304,0.996,30.749,151.309,2.726,984.735,0.156,0.179,0.157,0.014,0.035,0.038,0.057,0.048,0.093,0.046
61,3.901,261.463,1.323,36.038,254.618,4.354,1393.901,0.165,0.178,0.156,0.026,0.046,0.047,0.06,0.048,0.088,0.049
62,3.888,234.912,0.967,30.242,134.017,2.51,934.535,0.153,0.181,0.157,0.012,0.033,0.036,0.055,0.048,0.094,0.046
63,3.901,243.029,1.509,39.122,302.965,5.391,1721.589,0.165,0.177,0.156,0.027,0.047,0.048,0.06,0.048,0.087,0.05
65,3.9,246.048,1.233,34.616,231.419,3.913,1269.404,0.162,0.177,0.155,0.023,0.044,0.045,0.059,0.048,0.089,0.049
66,3.899,259.081,1.17,33.609,213.224,3.783,1229.47,0.161,0.177,0.155,0.022,0.043,0.044,0.059,0.048,0.09,0.048
69,3.887,260.329,0.995,30.68,143.02,2.501,933.461,0.157,0.183,0.159,0.013,0.034,0.036,0.056,0.048,0.095,0.046
70,3.889,243.691,0.971,30.325,138.232,2.58,950.517,0.153,0.179,0.156,0.012,0.034,0.037,0.055,0.047,0.094,0.046
73,3.899,261.982,1.209,34.222,224.64,3.768,1228.899,0.161,0.176,0.155,0.022,0.043,0.044,0.059,0.048,0.089,0.048
74,3.887,246.402,0.969,30.246,131.804,2.45,920.725,0.153,0.182,0.158,0.011,0.033,0.036,0.055,0.048,0.095,0.046
77,3.898,242.038,1.15,33.219,207.13,3.55,1175.453,0.16,0.177,0.155,0.022,0.043,0.044,0.059,0.048,0.09,0.048
78,3.902,254.424,1.274,35.205,240.776,4.191,1342.151,0.165,0.178,0.157,0.025,0.045,0.047,0.06,0.048,0.088,0.049
81,3.89,235.836,1.027,31.282,164.645,2.815,1005.726,0.154,0.176,0.154,0.015,0.036,0.039,0.056,0.047,0.092,0.046
82,3.901,231.061,1.417,37.56,279.702,4.768,1524.822,0.166,0.178,0.156,0.026,0.047,0.048,0.06,0.048,0.088,0.049
85,3.902,252.118,1.645,41.333,336.645,5.877,1878.212,0.163,0.175,0.154,0.026,0.047,0.048,0.06,0.048,0.087,0.049
86,3.895,276.109,1.053,31.705,176.362,3.185,1082.467,0.156,0.176,0.154,0.018,0.039,0.041,0.057,0.048,0.091,0.047
89,3.899,260.251,0.872,28.482,85.289,2.635,948.931,0.152,0.182,0.16,0.011,0.032,0.035,0.055,0.048,0.095,0.045
