"par.sam","qrunoff_daily","qrunoff_yearly","qet_daily","qet_monthly","qet_yearly","gpp_daily","gpp_yearly","sat10_daily","sat40_daily","sat100_daily","swcplot10_daily","swcplot40_daily","swcplot100_daily","swc10_daily","swc40_daily","swc100_daily","swc.vert_daily"
1,0.297,0.763,0.004,0.367,0.989,0,0.645,0.86,0.835,0.862,0.848,0.914,0.855,0.86,0.835,0.854,0.797
2,0.291,0.718,0.001,0.38,0.982,0.007,0.548,0.854,0.844,0.848,0.869,0.917,0.823,0.854,0.844,0.84,0.792
5,0.296,0.719,0.001,0.376,0.991,0,0.63,0.864,0.845,0.865,0.856,0.919,0.841,0.864,0.845,0.857,0.801
6,0.297,0.722,0.003,0.371,0.99,0,0.636,0.854,0.834,0.861,0.855,0.907,0.853,0.854,0.834,0.853,0.796
9,0.296,0.749,0.001,0.377,0.99,0,0.628,0.864,0.844,0.865,0.855,0.92,0.842,0.864,0.844,0.857,0.801
10,0.287,0.767,0.002,0.359,0.988,0.022,0.471,0.84,0.839,0.831,0.88,0.913,0.824,0.84,0.839,0.824,0.773
13,0.287,0.745,0.001,0.359,0.985,0.017,0.445,0.84,0.838,0.831,0.88,0.912,0.825,0.84,0.838,0.823,0.774
14,0.287,0.731,0.001,0.366,0.983,0.014,0.47,0.842,0.84,0.835,0.88,0.912,0.825,0.842,0.84,0.827,0.778
17,0.293,0.719,0,0.382,0.989,0.002,0.601,0.859,0.847,0.857,0.863,0.918,0.832,0.859,0.847,0.849,0.796
18,0.297,0.719,0.001,0.377,0.989,0,0.629,0.863,0.838,0.864,0.851,0.919,0.846,0.863,0.838,0.855,0.802
21,0.289,0.763,0.002,0.373,0.981,0.011,0.51,0.847,0.841,0.839,0.874,0.914,0.823,0.847,0.841,0.831,0.783
22,0.287,0.763,0.001,0.368,0.988,0.016,0.469,0.841,0.839,0.833,0.88,0.912,0.825,0.841,0.839,0.826,0.776
25,0.287,0.691,0.002,0.361,0.988,0.019,0.471,0.841,0.839,0.832,0.88,0.913,0.824,0.841,0.839,0.824,0.774
26,0.297,0.737,0.002,0.372,0.99,0,0.639,0.863,0.839,0.865,0.852,0.918,0.848,0.863,0.839,0.857,0.8
29,0.296,0.754,0.001,0.377,0.99,0,0.629,0.863,0.837,0.861,0.858,0.92,0.839,0.863,0.837,0.853,0.802
30,0.284,0.708,0.002,0.354,0.991,0.034,0.449,0.842,0.842,0.834,0.878,0.915,0.826,0.842,0.842,0.826,0.77
33,0.29,0.732,0.001,0.381,0.98,0.005,0.538,0.85,0.841,0.843,0.87,0.914,0.825,0.85,0.841,0.835,0.788
34,0.294,0.772,0,0.381,0.991,0.001,0.611,0.861,0.843,0.859,0.864,0.921,0.831,0.861,0.843,0.851,0.799
35,0.286,0.751,0,0.358,0.995,0.022,0.406,0.84,0.839,0.831,0.881,0.913,0.825,0.84,0.839,0.823,0.77
37,0.29,0.721,0.001,0.378,0.988,0.011,0.554,0.85,0.844,0.844,0.872,0.915,0.825,0.85,0.844,0.836,0.786
38,0.298,0.739,0.005,0.364,0.987,0.002,0.65,0.861,0.825,0.858,0.839,0.912,0.863,0.861,0.825,0.85,0.798
41,0.295,0.761,0.001,0.374,0.992,0.002,0.623,0.85,0.836,0.856,0.864,0.906,0.845,0.85,0.836,0.848,0.792
42,0.287,0.71,0.002,0.365,0.986,0.016,0.479,0.842,0.839,0.834,0.878,0.913,0.824,0.842,0.839,0.826,0.777
45,0.29,0.761,0.001,0.378,0.981,0.009,0.53,0.851,0.842,0.844,0.871,0.915,0.823,0.851,0.842,0.836,0.789
46,0.297,0.755,0.003,0.37,0.99,0,0.641,0.861,0.837,0.863,0.851,0.916,0.85,0.861,0.837,0.855,0.798
49,0.287,0.761,0.001,0.367,0.992,0.018,0.435,0.838,0.839,0.831,0.884,0.912,0.826,0.838,0.839,0.823,0.772
50,0.294,0.718,0,0.383,0.986,0.002,0.593,0.861,0.847,0.858,0.864,0.921,0.828,0.861,0.847,0.85,0.799
53,0.295,0.763,0,0.382,0.987,0,0.613,0.867,0.846,0.862,0.86,0.923,0.831,0.867,0.846,0.854,0.805
54,0.287,0.76,0.002,0.358,0.986,0.018,0.435,0.839,0.837,0.831,0.88,0.912,0.825,0.839,0.837,0.823,0.773
